CÓDIGO ;CALLE ;NÚMERO ;LOCALIDAD ;PROVINCIA ;HORARIOS 
IVA;10;834;LAS TOSCAS;SANTA FE;LUN A VIE 08.00 A 14.30
SKF;9 DE JULIO;1;LEHMANN;SANTA FE;LUN A VIE 08.00 A 14.30
IRL;URQUIZA GENERAL JUSTO JOSE DE;307;LLAMBI CAMPBELL;SANTA FE;LUN A VIE 08.00 A 14.30
SJW;CORRIENTES;1454;LOPEZ;SANTA FE;LUN A VIE 08.00 A 14.30
SMU;9;360;LAS PETACAS;SANTA FE;LUN A VIE 08.00 A 13.00
SEJ;LOPEZ ESTANISLAO;420;LOS CARDOS;SANTA FE;LUN A VIE 08.00 A 14.30
SDL;SAN JUAN;762;MACIEL;SANTA FE;LUN A VIE 08.00 A 14.30
IUM;SIGEL FEDERICO CARLOS;902;MALABRIGO;SANTA FE;LUN A VIE 08.00 A 14.30
IRQ;RIZZETTI ROMEO;508;MARCELINO ESCALADA;SANTA FE;LUN A VIE 08.00 A 14.30
ISE;BELGRANO MANUEL;0;MARGARITA;SANTA FE;LUN A VIE 08.00 A 14.30
SMP;SANTA FE;247;MARIA JUANA;SANTA FE;LUN A VIE 08.00 A 14.30
SKN;9 DE JULIO;162;MOISES VILLE;SANTA FE;LUN A VIE 08.00 A 14.30
SEG;COLON CRISTOBAL;897;MARIA SUSANA;SANTA FE;LUN A VIE 08.00 A 14.30
SDN;YRIGOYEN PRESIDENTE HIPOLITO;428;MONJE;SANTA FE;LUN A VIE 08.00 A 14.30
IRI;SARMIENTO;396;NELSON;SANTA FE;LUN A VIE 08.00 A 14.30
SEH;COLON;1007;PIAMONTE;SANTA FE;LUN A VIE 08.00 A 13.00
ITC;25 DE MAYO;1552;PILAR;SANTA FE;LUN A VIE 08.00 A 14.30
IRF;ESTRADA JOSE MANUEL;0;PROGRESO;SANTA FE;LUN A VIE 08.00 A 14.30
SKB;MORENO;28;RAMONA;SANTA FE;LUN A VIE 08.00 A 13.00
IQW;STORNI ALFONSINA;1155;RECREO;SANTA FE;LUN A VIE 08.00 A 14.30
ITW;RAMSEYER CRISTIAN;996;ROMANG;SANTA FE;LUN A VIE 08.00 A 14.30
IQQ;25 DE MAYO;163;SA PEREYRA;SANTA FE;LUN A VIE 08.00 A 13.00
IQS;BELGRANO GENERAL MANUEL;550;SAN CARLOS CENTRO;SANTA FE;LUN A VIE 08.00 A 14.30
ILO;GARAY JUAN DE;624;SAN CARLOS SUD;SANTA FE;LUN A VIE 08.00 A 14.30
ISO;PRINGLES CORONEL JUAN PASCUAL;915;SAN CRISTOBAL;SANTA FE;LUN A VIE 08.00 A 14.30
SLT;RIVADAVIA BERNARDINO;100;SAN GUILLERMO;SANTA FE;LUN A VIE 08.00 A 14.30
IQN;SAN MARTIN;1839;SAN JAVIER;SANTA FE;LUN A VIE 08.00 A 14.30
INK;SARMIENTO;577;SAN JERONIMO NORTE;SANTA FE;LUN A VIE 08.00 A 14.30
SMT;ALBERDI JUAN BAUTISTA;1298;SAN JORGE;SANTA FE;LUN A VIE 08.00 A 14.30
IND;GAMBOA GREGORIO;1401;SAN JOSE DEL RINCON;SANTA FE;LUN A VIE 08.00 A 14.30
IRO;CABAL GOBERNADOR;2340;SAN JUSTO;SANTA FE;LUN A VIE 08.00 A 14.30
SMS;RIBETTI MIGUEL;785;SAN MARTIN DE LAS ESCOBAS;SANTA FE;LUN A VIE 08.00 A 14.30
SMQ;CABRAL SARGENTO JUAN BAUTISTA;144;SAN VICENTE;SANTA FE;LUN A VIE 08.00 A 14.30
SJZ;RISSO PATRON CORONEL CONRADO;645;SANTA CLARA DE BUENA VISTA;SANTA FE;LUN A VIE 08.00 A 13.00
SMC;SANTA CLARA DE ASIS;88;SANTA CLARA DE SAGUIER;SANTA FE;LUN A VIE 08.00 A 13.00
INE;URUGUAY;100;SANTA ROSA DE CALCHINES;SANTA FE;LUN A VIE 08.00 A 14.30
IRA;MORENO DOCTOR MARIANO;1287;SARMIENTO;SANTA FE;LUN A VIE 08.00 A 13.00
SMK;ORTIZ EMILIO DE;1635;SASTRE;SANTA FE;LUN A VIE 08.00 A 14.30
SLV;25 DE MAYO;598;SUARDI;SANTA FE;LUN A VIE 08.00 A 14.30
SCQ;LAZARTE JUAN;1498;SAN GENARO;SANTA FE;LUN A VIE 08.00 A 14.30
SCO;19 DE SEPTIEMBRE;777;SAN GENARO;SANTA FE;LUN A VIE 08.00 A 13.00
SKY;BELGRANO DOCTOR MANUEL;512;TACURAL;SANTA FE;LUN A VIE 08.00 A 14.30
ISI;RIVADAVIA BERNARDINO;1118;TOSTADO;SANTA FE;LUN A VIE 08.00 A 14.30
ITR;25 DE MAYO;1905;VERA;SANTA FE;LUN A VIE 08.00 A 14.30
ISC;TUCUMAN;0;VERA Y PINTADO;SANTA FE;LUN A VIE 08.00 A 13.00
IRW;20 DE JUNIO;602;VIDELA;SANTA FE;LUN A VIE 08.00 A 14.30
SKT;1 DE MAYO;100;VILA;SANTA FE;LUN A VIE 08.00 A 13.00
IUX;25 DE MAYO;200;VILLA ANA;SANTA FE;LUN A VIE 08.00 A 13.00
IVD;MENCHACA GOBERNADOR MANUEL JOAQUIN;0;VILLA GUILLERMINA;SANTA FE;LUN A VIE 08.00 A 14.30
IUU;BELGRANO MANUEL;1290;VILLA OCAMPO;SANTA FE;LUN A VIE 08.00 A 14.30
SLS;IRIONDO SIMON DE;362;VILLA TRINIDAD;SANTA FE;LUN A VIE 08.00 A 14.30
ISJ;9 DE JULIO;795;VILLA MINETTI;SANTA FE;LUN A VIE 08.00 A 14.30
SMG;YRIGOYEN PRESIDENTE HIPOLITO;755;ZENON PEREYRA;SANTA FE;LUN A VIE 08.00 A 14.30
QVV;48;860;LA PLATA;BUENOS AIRES;LUN A VIE 08.00 A 14.00
RDJ;ARGENTINA REPUBLICA;3205;CLAYPOLE;BUENOS AIRES;LUN A VIE 08.00 A 20.00 / SAB 08.00 A 13.00
SBC;ASURMENDI IGNACIO;447;ACEBAL;SANTA FE;LUN A VIE 08.30 A 12.30
SBK;25 DE MAYO;963;ALCORTA;SANTA FE;LUN A VIE 08.00 A 15.00
SBA;TUCUMAN;421;ALVAREZ;SANTA FE;LUN A VIE 08.00 A 15.00
SGA;QUINTANA;200;AMENABAR;SANTA FE;LUN A VIE 08.30 A 12.30
SEA;14 DE DICIEMBRE;1531;ARMSTRONG;SANTA FE;LUN A VIE 08.00 A 15.00
SBV;MAIORANO MANSUETO;530;ARROYO SECO;SANTA FE;LUN A VIE 08.00 A 15.00
SPD;SAN MARTIN GENERAL JOSE DE;47;ARTEAGA;SANTA FE;LUN A VIE 08.00 A 15.00
SFH;IRIONDO SIMON DE;660;BERABEVU;SANTA FE;LUN A VIE 07.30 A 13.00
SCZ;LIBERTAD;201;BIGAND;SANTA FE;LUN A VIE 08.00 A 15.00
SDA;VERA MUJICA ANTONIO;100;BOMBAL;SANTA FE;LUN A VIE 09.00 A 13.00
SEF;9 DE JULIO;90;BOUQUET;SANTA FE;LUN A VIE 08.00 A 12.30
SFE;SAN MARTIN GENERAL JOSE DE;558;CAÑADA DEL UCLE;SANTA FE;LUN A VIE 08.00 A 12.30
SFI;SAN MARTIN;679;CAFFERATA;SANTA FE;LUN A VIE 08.30 A 12.30
SCU;SAN LORENZO;855;CAPITAN BERMUDEZ;SANTA FE;LUN A VIE 08.00 A 15.00
SCF;1 DE MAYO;413;CARCARAÑA;SANTA FE;LUN A VIE 08.00 A 15.00
SEX;MITRE;473;CARMEN;SANTA FE;LUNES 14.30 A 17.30 / MIERCOLES 14.30 A 17.30 / VIERNES 14.30 A 17.30
SFO;GARIBALDI;791;CARRERAS;SANTA FE;LUN A VIE 08.30 A 12.30
SFF;SAN MARTIN;735;CHAÑAR LADEADO;SANTA FE;LUN A VIE 08.30 A 12.30
SCX;ROSARIO;1743;CHABAS;SANTA FE;LUN A VIE 08.30 A 12.30
SFC;SAN MARTIN;570;CHOVET;SANTA FE;LUNES 09.30 A 12.30 / MIERCOLES 09.30 A 12.30 / VIERNES 09.30 A 12.30
SAW;9 DE JULIO;253;CORONEL BOGADO;SANTA FE;LUN A VIE 08.00 A 13.00
SDY;25 DE MAYO;765;CORREA;SANTA FE;LUN A VIE 08.00 A 13.00
ICC;CHRISTOPHERSEN;100;DIEGO DE ALVEAR;SANTA FE;LUN A VIE 08.30 A 12.30
SFP;ITALIA;688;ELORTONDO;SANTA FE;LUN A VIE 08.00 A 15.00
RDL;BENAVIDEZ NAZARIO;2008;RIVADAVIA;SAN JUAN;LUN A VIE 09.00 A 13.30 / LUN A VIE 17.00 A 20.00 / SAB 09.30 A 14.00
SBT;COLON;642;FIGHIERA;SANTA FE;LUN A VIE 08.00 A 13.00
SCV;SANTA FE;145;FRAY LUIS BELTRAN;SANTA FE;LUN A VIE 08.00 A 13.00
SBW;RECONQUISTA;645;FUENTES;SANTA FE;LUN A VIE 08.00 A 13.00
SFD;14;705;GODEKEN;SANTA FE;LUN A VIE 08.30 A 13.00
SFT;ITALIA;159;GODOY;SANTA FE;LUNES 08.00 A 13.00 / MIERCOLES 08.00 A 13.00 / VIERNES 08.00 A 13.00
SFL;15 DE ABRIL;234;HUGHES;SANTA FE;LUN A VIE 08.30 A 12.30
SAX;MITRE;302;JUAN BERNABE MOLINA;SANTA FE;LUN A VIE 08.00 A 13.00
SFK;LEDESMA CLODOMIRO;254;JUNCAL;SANTA FE;MAR Y JUE 14.30 A 17.30
SFM;INDEPENDENCIA;485;LABORDEBOY;SANTA FE;LUN A VIE 08.30 A 13.00
SDX;16;856;LAS PAREJAS;SANTA FE;LUN A VIE 08.00 A 15.00
SED;SAN MARTIN;459;LAS ROSAS;SANTA FE;LUN A VIE 08.00 A 15.00
SDB;LOPEZ BRIGADIER ESTANISLAO;626;LOS MOLINOS;SANTA FE;LUN A VIE 08.30 A 13.00
SFG;25 DE MAYO;554;LOS QUIRQUINCHOS;SANTA FE;LUN A VIE 08.30 A 13.00
SEY;BADIA PADRE;498;MAGGIOLO;SANTA FE;LUN A VIE 08.30 A 13.00
SES;BELGRANO MANUEL;136;MARIA TERESA;SANTA FE;LUN A VIE 08.30 A 13.00
SPC;25 DE MAYO;385;MELINCUE;SANTA FE;LUN A VIE 08.30 A 12.30
SEE;SAN MARTIN GENERAL JOSE DE;698;MONTES DE OCA;SANTA FE;LUN A VIE 08.30 A 13.00
SEL;SARMIENTO DOMINGO FAUSTINO;397;MURPHY;SANTA FE;LUN A VIE 08.30 A 13.00
SDK;BUENOS AIRES;217;OLIVEROS;SANTA FE;LUN A VIE 08.00 A 15.00
SBL;BUENOS AIRES;1178;PAVON ARRIBA;SANTA FE;LUN A VIE 08.30 A 12.00
SBI;25 DE MAYO;963;MAXIMO PAZ;SANTA FE;LUN A VIE 08.00 A 15.00
SBO;CHIAVARINI DOCTOR ALBERTO;1199;PEREZ;SANTA FE;LUN A VIE 08.00 A 15.00
SBG;CENTENARIO;821;PEYRANO;SANTA FE;LUN A VIE 08.30 A 12.30
SDH;CORDOBA;884;PUERTO GRAL SAN MARTIN;SANTA FE;LUN A VIE 08.00 A 13.00
SBQ;DE LA TORRE DOCTOR LISANDRO;345;PUJATO;SANTA FE;LUN A VIE 08.00 A 13.00
SCB;BELTRAN FRAY LUIS;161;ROLDAN;SANTA FE;LUN A VIE 08.00 A 15.00
SFW;RUEDA DOCTOR PEDRO;530;RUEDA;SANTA FE;MAR Y JUE 09.00 A 13.00
SCJ;ARGENTINA;117;SALTO GRANDE;SANTA FE;LUN A VIE 08.00 A 13.00
SEV;SARMIENTO;344;SAN EDUARDO;SANTA FE;LUN A VIE 08.30 A 12.30
SCI;LAS HERAS;575;SANFORD;SANTA FE;LUN A VIE 08.00 A 12.30
SEU;ALVEAR JOSEFINA DE;99;SAN GREGORIO;SANTA FE;LUN A VIE 08.30 A 13.00
SCD;SAN MARTIN;416;SAN JERONIMO SUD;SANTA FE;LUN A VIE 08.30 A 13.00
SDD;PELLEGRINI;1081;SAN JOSE DE LA ESQUINA;SANTA FE;LUN A VIE 08.00 A 12.00
SEW;DE LA TORRE DOCTOR LISANDRO;394;SANCTI SPIRITU;SANTA FE;LUN A VIE 08.00 A 15.00
SEP;RIVADAVIA;1071;SANTA ISABEL;SANTA FE;LUN A VIE 08.30 A 13.00
SBE;PRIMERA JUNTA;468;SANTA TERESA;SANTA FE;LUN A VIE 08.00 A 13.00
SDP;SAN MARTIN;560;SERODINO;SANTA FE;LUN A VIE 08.00 A 13.00
IAJ;9 DE JULIO;344;TEODELINA;SANTA FE;LUN A VIE 10.00 A 13.00
SDI;GABOTO;573;TIMBUES;SANTA FE;LUN A VIE 08.00 A 13.00
SEC;SAN MARTIN;180;TORTUGAS;SANTA FE;LUN A VIE 09.00 A 13.00
SCL;MITRE;1096;TOTORAS;SANTA FE;LUN A VIE 08.00 A 15.00
SER;59;446;VILLA CAÑAS;SANTA FE;LUN A VIE 08.00 A 15.00
SDV;SARMIENTO PRESIDENTE DOMINGO FAUSTINO;401;VILLA ELOISA;SANTA FE;LUN A VIE 08.30 A 13.00
SCY;RIVADAVIA BERNARDINO;799;VILLA MUGUETA;SANTA FE;LUN A VIE 08.30 A 13.00
SFJ;MORENO DOCTOR MARIANO;680;WHEELWRIGHT;SANTA FE;LUN A VIE 10.00 A 14.00
SBX;25 DE MAYO;2124;ZAVALLA;SANTA FE;LUN A VIE 08.00 A 15.00
THA;MARMOL JOSE;1;AGUILARES;TUCUMAN;LUN A VIE 09.00 A 14.00
TIB;RIVADAVIA;930;ALDERETES;TUCUMAN;LUN A VIE 08.00 A 14.00
TGK;PADILLA ERNESTO;100;AMAICHA DEL VALLE;TUCUMAN;LUN A VIE 08.00 A 13.00
TFI;SAN MARTIN GENERAL JOSE DE;200;BANDA DEL RIO SALI;TUCUMAN;LUN A VIE 08.00 A 14.00
THQ;MARCONI;398;BELLA VISTA;TUCUMAN;LUN A VIE 08.00 A 13.00
TCC;AV. 25 DE MAYO S/N;0;ESTACION BURRUYACU;TUCUMAN;LUN A VIE 08.00 A 13.00
TGP;9 DE JULIO;1;COLALAO DEL VALLE;TUCUMAN;MIE Y VIE 08.00 A 13.00
TGF;BELGRANO MANUEL;380;FAMAILLA;TUCUMAN;LUN A VIE 08.00 A 15.00
THH;SAN MARTIN GENERAL JOSE DE;12;GRANEROS;TUCUMAN;VIERNES 08.00 A 13.00 / LUN Y MIER 08.00 A 13.00
THD;PELLEGRINI CARLOS;0;SANTA ANA;TUCUMAN;MAR Y JUE 08.00 A 13.00
TGI;LIBERTADOR;170;SANTA LUCIA;TUCUMAN;MAR Y JUE 08.00 A 13.00
THG;SAENZ PEÑA ROQUE;402;JUAN BAUTISTA ALBERDI;TUCUMAN;LUN A VIE 08.00 A 15.00
THK;RIVADAVIA;142;LA COCHA;TUCUMAN;LUN A VIE 08.00 A 13.00
THZ;25 DE MAYO;0;LAMADRID;TUCUMAN;LUN A VIE 08.00 A 13.00
TCG;24 DE SEPTIEMBRE;1;LA RAMADA;TUCUMAN;LUN A VIE 08.00 A 13.00
TFM;1;0;LEALES;TUCUMAN;LUN A VIE 08.00 A 13.00
TIF;PETRILLI MADRE SABINA;0;LOS RALOS;TUCUMAN;MAR Y JUE 08.00 A 13.00 / LUNES 08.00 A 13.00
TGB;QUILES DALMACIO;95;LULES;TUCUMAN;LUN A VIE 08.00 A 13.00
TFA;1;1550;LAS TALITAS;TUCUMAN;LUN A VIE 08.00 A 14.00
TGL;9 DE JULIO;51;EL MANANTIAL;TUCUMAN;LUN A VIE 08.00 A 15.00
THX;9 DE JULIO;1;MONTEAGUDO;TUCUMAN;LUN A VIE 08.00 A 13.00
TGQ;COLON;247;MONTEROS;TUCUMAN;LUN A VIE 09.00 A 16.00
TFQ;SALTA;101;LA FLORIDA;TUCUMAN;LUN A VIE 08.00 A 13.00
OLA;SAN MARTIN;240;SAN PABLO;TUCUMAN;LUN A VIE 08.00 A 13.00
THV;ALBERDI JUAN BAUTISTA;455;SIMOCA;TUCUMAN;LUN A VIE 09.00 A 15.00
OIA;BUENOS AIRES;99;TACO RALO;TUCUMAN;MAR Y JUE 08.00 A 13.00
TDD;SAN MARTIN;1;TAFI DEL VALLE;TUCUMAN;LUN A VIE 08.00 A 13.00
TFC;MONTEAGUDO;15;TAFI VIEJO;TUCUMAN;LUN A VIE 08.00 A 15.00
TCR;25 DE MAYO;0;VILLA TRANCAS;TUCUMAN;MARTES 08.00 A 13.00 / JUE Y VIE 08.00 A 13.00
TGZ;LAFUENTE ANTONIO;1;VILLA LA TRINIDAD;TUCUMAN;VIERNES 08.00 A 13.00 / LUN Y MIER 08.00 A 13.00
TGS;FLORIDA;101;VILLA QUINTEROS;TUCUMAN;VIERNES 08.00 A 13.00 / LUN Y MIER 08.00 A 13.00
TAQ;SAN MARTIN;64;RANCHILLOS;TUCUMAN;LUN A VIE 08.00 A 13.00
ARR;GARCIA CAPITAN JORGE;238;ALTO RIO SENGUER;CHUBUT;LUN A VIE 08.00 A 13.00
UDD;ALBORADA;0;CORCOVADO;CHUBUT;LUN A VIE 08.30 A 13.30
UDZ;SAN MARTIN GENERAL JOSE DE;347;GOBERNADOR COSTA;CHUBUT;LUN A VIE 09.00 A 16.00
JSM;BELGRANO DOCTOR MANUEL;1;JOSE DE SAN MARTIN;CHUBUT;LUN A VIE 08.30 A 13.30
ROY;25 DE MAYO;790;RIO MAYO;CHUBUT;LUNES 10.30 A 14.00 / JUEVES 08.00 A 13.00 / MAR Y MIER 08.00 A 13.00
UEA;MORENO PERITO FRANCISCO P;240;RIO PICO;CHUBUT;LUNES 08.30 A 13.30 / MARTES 08.30 A 13.30
UDF;SAN MARTIN;99;TREVELIN;CHUBUT;LUN A VIE 09.00 A 16.00
UDT;SOBERANIA ARGENTINA;0;CHOLILA;CHUBUT;LUN A VIE 08.00 A 15.00
UCQ;28 DE JULIO;102;DOLAVON;CHUBUT;LUN A VIE 09.00 A 13.00
EMX;SAN MARTIN GENERAL JOSE DE;801;EL MAITEN;CHUBUT;LUN A VIE 09.00 A 16.00
UDN;LOS CONDORES;0;EPUYEN;CHUBUT;MIERCOLES 09.00 A 16.00 / LUN Y VIE 09.00 A 16.00
UCO;EVANS JOHN CAERING;114;GAIMAN;CHUBUT;LUN A VIE 09.00 A 13.00
UBW;LOS NOTROS;0;LAGO PUELO;CHUBUT;LUN A VIE 09.00 A 16.00
UDO;SAN MARTIN GENERAL JOSE DE;891;TECKA;CHUBUT;MIERCOLES 09.00 A 13.00 / VIERNES 09.00 A 13.00 / JUEVES 09.00 A 13.00
UCY;SARMIENTO;0;TELSEN;CHUBUT;LUN A VIE 08.00 A 13.00
RHZ;RUPATINI SANTIAGO;360;TOLHUIN;TIERRA DEL FUEGO;LUN A VIE 09.00 A 15.00
WCB;COSQUIN;1890;CORRIENTES;CORRIENTES;LUN A VIE 07.00 A 14.00
WEK;PAMPIN GOBERNADOR JUAN VlCENTE;0;CHAVARRIA;CORRIENTES;LUN A VIE 08.00 A 11.00
WCK;SAN MARTIN;555;CONCEPCION;CORRIENTES;LUN A VIE 08.00 A 11.00
WCF;MITRE BARTOLOME;1184;EMPEDRADO;CORRIENTES;LUN A VIE 07.00 A 13.00
WAD;MITRE BARTOLOME;810;ESQUINA;CORRIENTES;LUN A VIE 07.00 A 13.00
WBV;NIELLA GORDIOLA;115;NTRA SRA DEL ROS DE CAA CATI;CORRIENTES;LUN A VIE 07.00 A 13.00
WEQ;9 DE JULIO;100;ITA IBATE;CORRIENTES;LUN A VIE 07.00 A 13.00
WCC;CASTOR DE LEON;0;ITATI;CORRIENTES;LUN A VIE 08.00 A 11.00
OBW;VALLE BERNARDINO;1801;ITUZAINGO;CORRIENTES;LUN A VIE 07.00 A 13.00
WET;PARAGUAY;0;LORETO;CORRIENTES;LUN A VIE 07.00 A 13.00
WDH;URQUIZA;0;MANUEL FLORENCIO MANTILLA;CORRIENTES;LUN A VIE 07.00 A 13.00
WCO;BELGRANO MANUEL;984;MBURUCUYA;CORRIENTES;LUN A VIE 07.00 A 13.00
WBX;25 DE MAYO;642;PASO DE LA PATRIA;CORRIENTES;LUN A VIE 08.00 A 11.00
WDW;COLON;0;PERUGORRIA;CORRIENTES;LUN A VIE 07.00 A 13.00
WCH;MITRE BARTOLOME;605;SALADAS;CORRIENTES;LUN A VIE 07.00 A 13.00
WCA;SAN MARTIN GENERAL JOSE DE;0;SAN COSME;CORRIENTES;LUN A VIE 07.00 A 13.30
WCD;SARMIENTO;0;SAN LORENZO;CORRIENTES;LUN A VIE 08.00 A 11.00
WBS;TUCUMAN;687;SAN LUIS DEL PALMAR;CORRIENTES;LUN A VIE 07.00 A 13.00
WEV;SARMIENTO;895;SAN MIGUEL;CORRIENTES;LUN A VIE 08.00 A 11.00
WDJ;MONTENEGRO RUPERTO;850;SAN ROQUE;CORRIENTES;LUN A VIE 07.00 A 13.00
WDB;COLON CRISTOBAL;204;SANTA LUCIA;CORRIENTES;LUN A VIE 07.00 A 13.00
WEM;BAIGORRIA S/N;0;EST SOLARI;CORRIENTES;LUN A VIE 07.00 A 13.00
WBC;SUSSINI FRANCISCO;595;ALVEAR;CORRIENTES;LUN A VIE 07.00 A 13.00
GRZ;MITRE BARTOLOME;1;COLONIA LIEBIGS;CORRIENTES;LUN A VIE 08.00 A 11.00
NDM;SAN MARTIN;0;GARRUCHOS;CORRIENTES;LUN A VIE 08.00 A 11.00
WBA;LAVALLE GENERAL JUAN;2113;GOBERNADOR VIRASORO;CORRIENTES;LUN A VIE 07.00 A 13.00
WBE;COLON;798;LA CRUZ;CORRIENTES;LUN A VIE 07.00 A 13.00
NAF;SAN MARTIN GENERAL JOSE DE;0;SAN CARLOS;CORRIENTES;LUN A VIE 07.00 A 13.30
WAY;BRASIL;805;SANTO TOME;CORRIENTES;LUN A VIE 07.00 A 13.00
WAP;ROMERO OBISPO;302;YAPEYU;CORRIENTES;LUN A VIE 08.00 A 11.00
WAS;SAN MARTIN;0;BONPLAND;CORRIENTES;LUN A VIE 07.00 A 13.00
WAM;SAN MARTIN GENERAL JOSE DE;501;MOCORETA;CORRIENTES;LUN A VIE 08.00 A 11.00
WDY;BELGRANO MANUEL;1251;SAUCE;CORRIENTES;LUN A VIE 07.00 A 13.00
XIB;BUSTOS OBISPO ZENON;1;AGUA DE ORO;CORDOBA;LUN A VIE 08.00 A 13.00
XAI;ALEM LEANDRO NICEFORO;544;ALTOS DE CHIPION;CORDOBA;LUN A VIE 08.00 A 13.00
XAZ;RIVADAVIA PRESIDENTE BERNARDINO;505;ARROYITO;CORDOBA;LUN A VIE 09.00 A 14.00
XJL;CORNEJO TRISTAN;168;BALNEARIA;CORDOBA;LUN A VIE 08.00 A 15.00
XAK;COMUNA DE GIAVENO;101;BRINKMANN;CORDOBA;LUN A VIE 08.00 A 13.00
XLC;CORRIENTES;165;CAPILLA DEL MONTE;CORDOBA;LUN A VIE 08.00 A 15.00
XMT;ITALIA;50;COLONIA CAROYA;CORDOBA;LUN A VIE 09.00 A 15.00
XOA;ALVEAR PRESIDENTE MARCELO TORCUATO DE;403;CRUZ DEL EJE;CORDOBA;LUN A VIE 08.00 A 15.00
XLW;RIVADAVIA;200;DEAN FUNES;CORDOBA;LUN A VIE 08.00 A 15.00
XIP;FLORIDA;231;DESPEÑADEROS;CORDOBA;LUN A VIE 08.00 A 14.00
XAP;SARMIENTO;449;DEVOTO;CORDOBA;LUN A VIE 08.00 A 13.00
XTD;9 DE JULIO;353;EL ARAÑADO;CORDOBA;LUN A VIE 08.00 A 13.00
XAX;25 DE MAYO;631;EL TIO;CORDOBA;LUN A VIE 08.00 A 15.00
XTZ;25 DE MAYO;100;CALCHIN;CORDOBA;LUN A VIE 08.00 A 13.00
XAE;SAN MARTIN GENERAL JOSE DE;790;FREYRE;CORDOBA;LUN A VIE 08.00 A 13.00
XPY;RIVADAVIA PRESIDENTE BERNARDINO;1;LA PAZ;CORDOBA;LUN A VIE 08.00 A 13.00
XJV;SAN MARTIN;209;LA CALERA;CORDOBA;LUN A VIE 08.00 A 15.00
XSD;COLON;60;LA CUMBRE;CORDOBA;LUN A VIE 09.00 A 15.00
XAW;LENCINAS PASCUAL;255;LA FRANCIA;CORDOBA;LUN A VIE 08.00 A 13.00
XIJ;LOS FRESNOS;0;LA GRANJA;CORDOBA;LUN A VIE 08.00 A 13.00
XJH;SAN MARTIN GENERAL JOSE DE;897;LA PARA;CORDOBA;LUN A VIE 08.00 A 15.00
XUE;LIBERTAD;44;LAGUNA LARGA;CORDOBA;LUN A VIE 08.00 A 15.00
XNJ;MARTINEZ ANTONIO;246;LAS PEÑAS;CORDOBA;MAR Y JUE 08.00 A 13.00
XSW;BALDRICH;51;LAS VARILLAS;CORDOBA;LUN A VIE 08.00 A 15.00
XTX;CHACABUCO;758;LUQUE;CORDOBA;LUN A VIE 08.00 A 15.00
XQE;SAN MARTIN;707;MINA CLAVERO;CORDOBA;LUN A VIE 08.00 A 15.00
XJJ;SARMIENTO DOMINGO FAUSTINO;283;MARULL;CORDOBA;LUN A VIE 08.00 A 13.00
XIT;NEMIROVSKY INTENDENTE;223;MONTE CRISTO;CORDOBA;LUNES 08.00 A 13.00 / MIERCOLES 08.00 A 13.00 / VIERNES 08.00 A 13.00
XAM;ESPAÑA;964;MORTEROS;CORDOBA;LUN A VIE 08.00 A 15.00
XMV;BELGRANO GENERAL MANUEL;802;OBISPO TREJO;CORDOBA;LUN A VIE 08.00 A 13.00
XUC;9 DE JULIO;112;PILAR;CORDOBA;LUN A VIE 09.00 A 16.00
XAG;25 DE MAYO;557;PORTEÑA;CORDOBA;LUN A VIE 08.00 A 13.00
XRL;BELGRANO DOCTOR MANUEL;1;POZO DEL MOLLE;CORDOBA;LUN A VIE 08.00 A 13.00
XML;SARMIENTO DOMINGO FAUSTINO;63;QUILINO;CORDOBA;LUN A VIE 08.00 A 13.00
XIF;SAN MARTIN;4444;RIO CEBALLOS;CORDOBA;LUN A VIE 09.00 A 16.00
XIW;MOSCATI INTENDENTE ANTONIO;43;RIO PRIMERO;CORDOBA;LUN A VIE 08.00 A 15.00
XOP;EJERCITO ARGENTINO;368;SALSACATE;CORDOBA;LUN A VIE 08.00 A 13.00
XTB;BELGRANO DOCTOR MANUEL;499;SACANTA;CORDOBA;LUNES 08.00 A 12.00 / MIERCOLES 08.00 A 12.00 / VIERNES 08.00 A 12.00
XOL;SAN MARTIN GENERAL JOSE DE;230;SAN CARLOS MINAS;CORDOBA;LUN A VIE 08.00 A 13.00
XNP;SAN MARTIN;533;SAN JOSE DE LA DORMIDA;CORDOBA;LUN A VIE 07.00 A 15.30
XJC;9 DE JULIO;650;VILLA SANTA ROSA;CORDOBA;LUN A VIE 08.00 A 13.00
XKY;LUGONES LEOPOLDO;1105;SANTIAGO TEMPLE;CORDOBA;MAR Y JUE 08.00 A 13.00
XNV;PAZ GENERAL JOSE MARIA;152;SERREZUELA;CORDOBA;LUN A VIE 08.00 A 14.00
XJZ;SAN MARTIN;314;TANTI;CORDOBA;LUN A VIE 08.00 A 13.00
XBB;LOPEZ MARTI;111;TRANSITO;CORDOBA;MAR Y JUE 08.00 A 13.00
XAY;PAZ GENERAL;495;VILLA CONCEPCION DEL TIO;CORDOBA;MAR Y JUE 08.00 A 13.00
XNT;9 DE JULIO;46;VILLA DE MARIA;CORDOBA;LUN A VIE 08.00 A 13.00
XOE;SAN MARTIN GENERAL JOSE DE;505;VILLA DE SOTO;CORDOBA;LUNES 08.00 A 14.00 / MIERCOLES 08.00 A 14.00 / VIERNES 08.00 A 14.00
XTT;FERREYRA OBISPO;905;VILLA DEL ROSARIO;CORDOBA;LUN A VIE 08.00 A 15.00
