CÓDIGO ;CALLE ;NÚMERO ;LOCALIDAD ;PROVINCIA ;HORARIOS 
CH9;ROSAS BRIGADIER GENERAL JUAN MANUEL DE;691;LOMAS DEL MIRADOR;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CJ1;YRIGOYEN PRESIDENTE HIPOLITO;6133;REMEDIOS DE ESCALADA;BUENOS AIRES;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CL0;ALMAFUERTE;3171;SAN JUSTO;BUENOS AIRES;LUN A VIE 11.00 A 18.00 / SAB 10.00 A 13.00
CI4;CROVARA INTENDENTE ESTEBAN JUAN S;3035;LA TABLADA;BUENOS AIRES;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CRC;EVITA;13;CIUDAD MADERO;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CJ3;BROWN ALMIRANTE GUILLERMO;3394;TEMPERLEY;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CI9;FARREL JUAN;664;VALENTIN ALSINA;BUENOS AIRES;LUN A VIE 15.30 A 18.00 / LUN A VIE 11.00 A 14.00
CK2;12 DE OCTUBRE;1964;QUILMES OESTE;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CK0;MITRE PRESIDENTE BARTOLOME;3317;SARANDI;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CIX;D ELIA CORONEL;1638;LANUS OESTE;BUENOS AIRES;LUN A VIE 10.00 A 18.00
CJS;GALICIA;635;PIÑEYRO;BUENOS AIRES;LUN A VIE 10.00 A 18.00
CJX;BRAGADO;6185;WILDE;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CK4;CHILE;379;EZPELETA;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CK3;897;4115;SAN FRANCISCO SOLANO;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CI1;ECHEVERRIA ESTEBAN;6006;GREGORIO DE LAFERRERE;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CJO;ROCA;983;BURZACO;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CI7;FRENCH;198;EZEIZA;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CI2;POSAMAY DON LUIS;529;GONZALEZ CATAN;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CJE;ANTARTIDA ARGENTINA;1620;LLAVALLOL;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CJ8;DIEHL CARLOS J;1765;LONGCHAMPS;BUENOS AIRES;LUN A VIE 11.00 A 18.00
CJ4;LOPEZ VICENTE FIDEL;448;MONTE GRANDE;BUENOS AIRES;LUN A VIE 11.00 A 18.00
